"00:02:44,760","00:02:45,886
",164760,165886,Hello.,CHARLIE
"00:02:45,928","00:02:47,930
",165928,167930,"Hello, sweetie.",JOHN BRIDGER
"00:02:48,014","00:02:50,808
",168014,170808,Daddy.,STELLA
"00:02:50,891","00:02:52,143
",170891,172143,It's early.,CHARLIE
"00:02:52,268","00:02:53,811
",172268,173811,"Yeah, I know.",STELLA
"00:02:53,894","00:02:56,439
",173894,176439,I just wanted to let you know I'm sending you something.,JOHN BRIDGER
"00:02:56,522","00:02:59,150
",176522,179150,Mmm. Does it smell nice?,STELLA
"00:02:59,233","00:03:00,359
",179233,180359,"No,",CHARLIE
"00:03:00,443","00:03:02,236
",180443,182236,but it's sparkly.,JOHN BRIDGER
"00:03:03,321","00:03:05,531
",183321,185531,Does it have a receipt?,STELLA
"00:03:05,615","00:03:09,452
",185615,189452,I'm sending it to you from the store.,JOHN BRIDGER
"00:03:11,704","00:03:13,122
",191704,193122,Why don't you just come by?,CHARLIE
"00:03:13,164","00:03:14,832
",193164,194832,"We'll have some breakfast, hmm?",JOHN BRIDGER
"00:03:14,915","00:03:17,335
",194915,197335,"Well, it'd be a long trip.",JOHN BRIDGER
"00:03:17,418","00:03:19,879
",197418,199879,I'm in Venice.,JOHN BRIDGER
"00:03:22,923","00:03:25,301
",202923,205301,"With your parole officer's approval, of course.",STELLA
"00:03:25,384","00:03:27,637
",205384,207637,"Well, I like the guy, Stella, you know that,",STEVE
"00:03:27,720","00:03:29,764
",207720,209764,but we never really connected.,JOHN BRIDGER
"00:03:29,847","00:03:32,642
",209847,212642,So I think I've paid my P.O. his last visit.,JOHN BRIDGER
"00:03:32,725","00:03:34,352
",212725,214352,"What are you into, Dad?",STELLA
"00:03:34,435","00:03:35,561
",214435,215561,Don't break my heart.,STELLA
"00:03:35,645","00:03:37,229
",215645,217229,You told me you were through.,STELLA
"00:03:37,313","00:03:40,066
",217313,220066,"After this I am, I swear to you.",JOHN BRIDGER
"00:03:41,859","00:03:43,569
",221859,223569,Is Charlie there?,RECEPTIONIST
"00:03:43,653","00:03:45,321
",223653,225321,"I'm on a cell phone, darling.",CHRISTINA GRIEGO
"00:03:45,404","00:03:48,824
",225404,228824,I'll call you tomorrow from a land line.,RECEPTIONIST
"00:03:48,866","00:03:49,992
",228866,229992,I love you.,JOHN BRIDGER
"00:03:50,076","00:03:51,661
",230076,231661,Go back to sleep. Bye.,JOHN BRIDGER
"00:03:51,744","00:03:53,162
",231744,233162,D... Dad?,STELLA
"00:03:58,334","00:03:59,460
",238334,239460,"I love you, too.",JOHN BRIDGER
"00:04:06,175","00:04:07,593
",246175,247593,I sent it.,JOHN BRIDGER
"00:04:07,677","00:04:09,220
",247677,249220,You're supposed to do your shopping,STEVE
"00:04:09,303","00:04:10,513
",249303,250513,after we pull off the job.,JOHN BRIDGER
"00:04:10,596","00:04:11,764
",250596,251764,I feel so optimistic.,YEVHEN
"00:04:11,847","00:04:13,099
",251847,253099,So?,YEVHEN
"00:04:13,182","00:04:14,517
",253182,254517,How do you feel?,LYLE
"00:04:14,600","00:04:16,102
",254600,256102,I'm fine.,CHARLIE
"00:04:16,185","00:04:17,395
",256185,257395,Fine?,CHARLIE
"00:04:17,478","00:04:19,397
",257478,259397,"You know what ""fine"" stands for, don't you?",JOHN BRIDGER
"00:04:19,480","00:04:21,065
",259480,261065,"Yeah, unfortunately.",JOHN BRIDGER
"00:04:21,148","00:04:22,316
",261148,262316,"""Freaked out.""",JOHN BRIDGER
"00:04:22,358","00:04:23,401
",262358,263401,#VALUE!,JOHN BRIDGER
